,asin,product_name,price,rating,review_count,discount,image_url,product_link,aesthetic
946,B0FRGGBWZH,Official Marvel Merchandise Black Panther Men's All Over Printed Oversized Fit Full Sleeve Cotton Blend Hoodies,1259,,,(73% off),https://m.media-amazon.com/images/I/71ZOTjm+uQL._AC_UL320_.jpg,https://www.amazon.in/Bewakoof-Official-Merchandise-Oversized-Hoodies_682760_Grey_M/dp/B0FRGGBWZH,streetwear
947,B08JM6YHNX,Unisex-Adult Hooded Sweatshirt,599,3.9,4.3K,(76% off),https://m.media-amazon.com/images/I/613G0VfIOjL._AC_UL320_.jpg,https://www.amazon.in/More-Unisex-Regular-Printed-Sweatshirt/dp/B08JM6YHNX,streetwear
948,B0DZ6TGW85,Mens Printed Hooded Neck Cotton Blend T-Shirt,1359,,,(32% off),https://m.media-amazon.com/images/I/71ddZ6PhF+L._AC_UL320_.jpg,https://www.amazon.in/Monte-Carlo-Printed-Hooded-T-Shirt/dp/B0DZ6TGW85,streetwear
949,B0G35D9JLM,Slick Ness Hoodie for Men and Women Good Ness Drop Shoulder Unisex Pure Cotton Baggy Loose Fit Hoodie,1399,,,(48% off),https://m.media-amazon.com/images/I/71anhhhBh4L._AC_UL320_.jpg,https://www.amazon.in/AWARA-BACHA-Hoodie-Shoulder-Unisex/dp/B0G35D9JLM,streetwear
950,B0G24RG7KF,Men's Solid Oversized Fit Full Sleeve Hooded Polycotton Hoodies,1429,,,(55% off),https://m.media-amazon.com/images/I/61M7Yq4a5uL._AC_UL320_.jpg,https://www.amazon.in/Bewakoof-Oversized-Sleeve-Polycotton-Hoodies_687499_Brown_2XL/dp/B0G24RG7KF,streetwear
951,B0GHY1STYZ,Heavy Duty® 1.0 Official Marvel Merchandise Spiderman Men's Graphic Print Oversized Fit Full Sleeve Hooded Fleece Plus Hoodies,1689,,,(58% off),https://m.media-amazon.com/images/I/61-QB9osAUL._AC_UL320_.jpg,https://www.amazon.in/Bewakoof-Merchandise-Spiderman-Oversized-Hoodies_1500562_Brown_6XL/dp/B0GHY1STYZ,streetwear
952,B0DS9LRCRR,Cotton Blend Oversized Hoodies | Divine Chaos Graphic Print Unisex Hoodie | Ribbed Cuff Long-Sleeve | Drop Shoulder Relaxed Fit Hoodie,1699,,,(43% off),https://m.media-amazon.com/images/I/41h--9yXVFL._AC_UL320_.jpg,https://www.amazon.in/Street-Wear-Co-Oversized-Long-Sleeve/dp/B0DS9LRCRR,streetwear
953,B0DS9LP2DD,Cotton Blend Oversized Hoodies | Rebel Unity Graphic Print Unisex Hoodie | Ribbed Cuff Long-Sleeve | Drop Shoulder Relaxed Fit Hoodie,1699,,,(43% off),https://m.media-amazon.com/images/I/419U3SxH68L._AC_UL320_.jpg,https://www.amazon.in/Street-Wear-Co-Oversized-Long-Sleeve/dp/B0DS9LP2DD,streetwear
954,B0BY53T2VX,"Unisex Cotton Blend Oversized/Drop Shoulder Hoodie, Red",2599,,,(13% off),https://m.media-amazon.com/images/I/31TuayPXJvL._AC_UL320_.jpg,https://www.amazon.in/RACEORBIT-Unisex-Cotton-Oversized-Shoulder/dp/B0BY53T2VX,streetwear
955,B0DS9R6QP3,Cotton Blend Oversized Hoodies | Squad Goals Graphic Print Unisex Hoodie | Ribbed Cuff Long-Sleeve | Drop Shoulder Relaxed Fit Hoodie,1699,,,(43% off),https://m.media-amazon.com/images/I/41SKYJVidoL._AC_UL320_.jpg,https://www.amazon.in/Street-Wear-Co-Oversized-Long-Sleeve/dp/B0DS9R6QP3,streetwear
956,B0D2R814Y1,"Unisex Cotton Blend Oversized/Drop Shoulder Hoodie, Red Dirt",2599,,,(13% off),https://m.media-amazon.com/images/I/61Gawn9dQQL._AC_UL320_.jpg,https://www.amazon.in/RACEORBIT-Unisex-Cotton-Oversized-Shoulder/dp/B0D2R814Y1,streetwear
957,B0DS98J6TN,"Cotton Blend Oversized Hoodies | Zen AF Graphic Print Unisex Hoodie | Ribbed Cuff Long-Sleeve Solid Hoodie | Drop Shoulder Relaxed Fit Hoodie (in, Alpha, 3XL, Regular, Black)",1699,,,(43% off),https://m.media-amazon.com/images/I/41g1vGX03mL._AC_UL320_.jpg,https://www.amazon.in/Street-Wear-Co-Oversized-Long-Sleeve/dp/B0DS98J6TN,streetwear
958,B0DS98V8BH,"Cotton Blend Oversized Hoodies | Zen AF Graphic Print Unisex Hoodie | Ribbed Cuff Long-Sleeve Solid Hoodie | Drop Shoulder Relaxed Fit Hoodie (in, Alpha, L, Regular, Lavender)",1699,,,(43% off),https://m.media-amazon.com/images/I/41j7frhwx7L._AC_UL320_.jpg,https://www.amazon.in/Street-Wear-Co-Oversized-Long-Sleeve/dp/B0DS98V8BH,streetwear
959,B0DS9VGGML,Cotton Blend Oversized Hoodies | Airbender Stance Graphic Print Unisex Hoodie | Ribbed Cuff Long-Sleeve | Drop Shoulder Relaxed Fit Hoodie,1699,,,(43% off),https://m.media-amazon.com/images/I/4115CYBAeXL._AC_UL320_.jpg,https://www.amazon.in/Street-Wear-Co-Oversized-Long-Sleeve/dp/B0DS9VGGML,streetwear
960,B07S7MTB5G,Men Lace Up Sneaker Shoes,1139,3.8,7K,(54% off),https://m.media-amazon.com/images/I/6157WaPyAyL._AC_UL320_.jpg,https://www.amazon.in/Bacca-Afterburn-Disruptor-Multiple-Sneakers-White/dp/B07S7MTB5G,streetwear
961,B0973D8DNH,Men Lace Up Running Shoes,1424,4.1,2K,(53% off),https://m.media-amazon.com/images/I/716kSfEScGS._AC_UL320_.jpg,https://www.amazon.in/Bacca-Bucci-Fashion-Sneakers-Training/dp/B0973D8DNH,streetwear
962,B07Y5BKQ5R,Men's Sneaker,665,4.2,16.9K,(22% off),https://m.media-amazon.com/images/I/71gVtJPjZZL._AC_UL320_.jpg,https://www.amazon.in/Sparx-SM-439-White-Casual-Shoes/dp/B07Y5BKQ5R,streetwear
963,B0BSLK3YT5,Unisex Adult Smashic Sneaker,1798,4.0,3.7K,(60% off),https://m.media-amazon.com/images/I/41396Lbx3lL._AC_UL320_.jpg,https://www.amazon.in/Puma-Unisex-Adult-Smashic-White-Matte-Sneaker/dp/B0BSLK3YT5,streetwear
964,B08DKYJPXH,Men Mesh Lace Up Sneaker Shoes,949,3.7,757,(68% off),https://m.media-amazon.com/images/I/614xKoPoDqL._AC_UL320_.jpg,https://www.amazon.in/Bacca-Bucci-Platform-Trainer-Sneakers/dp/B08DKYJPXH,streetwear
965,B0D147LPQR,Men Lace Up Sneaker Shoes,1519,3.1,15,(49% off),https://m.media-amazon.com/images/I/7103zaISTqL._AC_UL320_.jpg,https://www.amazon.in/Bacca-Bucci-Urban-Nomad-Street-Style/dp/B0D147LPQR,streetwear
966,B0CGMQ3DNN,Men Lace Up Sneaker Shoes,1234,3.8,24,(65% off),https://m.media-amazon.com/images/I/71j9KxZNPlL._AC_UL320_.jpg,https://www.amazon.in/Bacca-STORMBREAKER-Sneakers-Cushioning-Footbed/dp/B0CGMQ3DNN,streetwear
967,B0CVDY19VY,Men Lace Up Sneaker Shoes,1614,3.9,26,(54% off),https://m.media-amazon.com/images/I/410NtlnvJ4L._AC_UL320_.jpg,https://www.amazon.in/Bacca-Bucci-Men-Terraforge-Low-Top/dp/B0CVDY19VY,streetwear
968,B0C42FLFPC,Men Lace Up Athletic Shoes,1709,4.0,343,(51% off),https://m.media-amazon.com/images/I/61dTMOPQt3L._AC_UL320_.jpg,https://www.amazon.in/Bacca-Bucci-Sneakers-Futuristic-White-Black/dp/B0C42FLFPC,streetwear
969,B0D9DD7N96,Men Lace Up Sneaker Shoes,1519,3.6,14,(57% off),https://m.media-amazon.com/images/I/512rrNDHfvL._AC_UL320_.jpg,https://www.amazon.in/Bacca-Bucci-SYLVIA-Chunky-Sneakers/dp/B0D9DD7N96,streetwear
970,B0B857J1GN,Men Lace Up Sneaker Shoes,1329,3.9,884,(62% off),https://m.media-amazon.com/images/I/61zKXC3M+fL._AC_UL320_.jpg,https://www.amazon.in/Bacca-Streetwear-Fashion-Sneakers-Designed/dp/B0B857J1GN,streetwear
971,B0CWR29PM1,Mens Court Shatter Low Sneaker,2599,4.1,961,(57% off),https://m.media-amazon.com/images/I/51U8BM3JwBL._AC_UL320_.jpg,https://www.amazon.in/Puma-Court-Shatter-White-White-Team-Sneaker/dp/B0CWR29PM1,streetwear
972,B0D4HHGGF1,"Chunky Blends Sneakers for Men | Casual Shoes for Men | Comfortable, Flexible and Breathable | Sporty Casuals",899,4.0,44,(76% off),https://m.media-amazon.com/images/I/51nf4KWji3L._AC_UL320_.jpg,https://www.amazon.in/Neemans-Sneakers-Comfortable-Flexible-Breathable/dp/B0D4HHGGF1,streetwear
973,B0C28FJ613,Men Lace Up Sneaker Shoes,1329,3.4,72,(62% off),https://m.media-amazon.com/images/I/71j55+aEaZL._AC_UL320_.jpg,https://www.amazon.in/Bacca-Bucci-Low-top-Sneakers-lightweighted/dp/B0C28FJ613,streetwear
